0,0,9,20000,6,2,30,272.0,70,1,0.0,0.0,2,297,153.0,0,0,0,0,0,0,0,0
0,0,8,3000,180,5,33,573.0,57,1,4.0,0.0,0,276,98.0,0,0,1,1,0,0,0,0
1,2,17,5000,1941,62,30,99999.0,158,2,2.0,0.0,12,1049,66.0,2,0,2,2,1,1,1,0
0,0,4,5000,130,5,60,1285.0,2,1,2.0,0.0,0,309,169.0,0,0,3,3,0,0,1,0
0,0,12,12000,1015,16,30,969.0,411,1,0.0,0.0,6,1636,216.0,0,0,3,4,0,0,1,0
1,0,9,2500,2655,33,31,319.0,110,1,0.0,0.0,12,872,65.0,0,2,1,1,0,1,1,1
4,0,4,1000,225,5,31,537.0,6,1,1.0,0.0,1,133,97.0,0,0,3,3,0,0,1,0
0,0,9,1500,2411,29,30,1499.0,185,1,0.0,0.0,6,641,79.0,0,0,1,1,0,0,1,1
0,0,6,40000,1,1,45,99999.0,0,2,0.0,0.0,3,958,160.0,0,0,5,9,1,1,1,0
2,0,6,3500,3616,62,26,1263.0,166,1,7.0,0.0,0,360,84.0,0,0,0,11,0,0,1,1
0,0,6,3000,422,9,9,410.0,1,2,0.0,0.0,1,22,79.0,0,0,4,12,0,0,1,0
1,0,11,1839,1910,57,30,428.0,368,1,1.0,0.0,3,1856,124.0,0,0,1,13,0,0,1,1
1,1,20,30000,2827,38,30,99999.0,454,1,3.0,0.0,12,1030,261.0,0,0,1,5,1,0,1,0
0,0,7,2000,200,2,30,99999.0,9,1,1.0,0.0,2,159,106.0,0,0,2,2,1,0,1,0
3,2,11,15000,3356,28,30,36.0,96,1,1.0,0.0,0,570,92.0,0,0,7,14,0,0,0,0
0,0,5,2381,3,1,14,540.0,2,1,0.0,0.0,0,404,136.0,0,0,5,15,0,0,1,0
4,0,6,250,23,2,7,99999.0,10,1,2.0,1.0,10,734,151.0,6,1,4,6,1,0,1,0
0,0,9,33546,75,2,45,32.0,0,2,0.0,0.0,10,348,126.0,0,0,4,6,0,0,0,0
2,0,7,900,34,6,20,232.0,5,4,1.0,0.0,0,188,35.0,0,0,5,9,0,0,1,0
5,1,19,7000,7149,114,42,801.0,0,2,0.0,1.0,5,385,75.0,0,0,8,16,0,0,1,1
1,0,12,5000,144,11,30,99999.0,6,1,0.0,0.0,5,946,65.0,0,1,3,4,1,1,1,0
0,0,8,5000,5187,48,59,113.0,24,1,0.0,0.0,0,466,92.0,3,0,7,14,0,0,1,1
0,0,13,9200,401,15,40,99999.0,144,1,0.0,0.0,0,87,102.0,0,1,2,2,1,0,1,0
0,0,10,17000,891,21,30,772.0,163,1,0.0,0.0,4,374,121.0,0,0,4,6,0,0,1,0
0,0,3,5000,10,1,30,710.0,15,1,0.0,0.0,0,131,59.0,0,2,9,17,0,1,1,0
3,6,14,12000,510,25,35,99999.0,47,1,6.0,0.0,8,638,109.0,0,0,4,6,1,0,1,0
1,1,7,30000,2072,25,34,255.0,846,1,0.0,0.0,54,903,242.0,0,0,4,6,0,0,1,0
0,0,11,20000,10921,20,60,99999.0,4,1,0.0,0.0,9,835,76.0,0,0,1,19,1,0,1,0
2,0,10,7000,10397,144,30,99999.0,531,1,8.0,0.0,3,812,118.0,0,0,1,1,1,0,1,1
0,0,10,8500,603,12,30,99999.0,22,1,0.0,0.0,9,1674,207.0,0,0,5,15,1,0,0,0
0,1,11,1200,1286,51,26,99999.0,243,111,5.0,0.0,1,267,199.0,0,0,8,16,1,0,1,1
5,8,6,595,1000,40,30,144.0,75,2,8.0,0.0,3,646,108.0,0,1,0,21,0,1,1,1
5,8,6,595,1000,40,30,144.0,75,2,8.0,0.0,3,646,108.0,0,1,0,21,0,1,0,1
0,0,3,12000,10,1,25,805.0,1,2,0.0,0.0,1,57,30.0,0,0,10,22,0,1,1,0
3,4,6,2500,5003,149,34,99999.0,363,1,4.0,0.0,12,595,112.0,0,0,0,21,1,1,1,1
2,0,6,1600,1606,26,31,99999.0,12,1,1.0,0.0,1,185,145.0,0,0,0,23,1,0,1,1
5,0,15,20000,12692,84,41,349.0,783,1,2.0,0.0,7,1238,102.0,0,0,7,14,0,0,1,0
1,0,7,5000,8069,166,45,382.0,88,1,0.0,0.0,0,182,139.0,0,0,8,24,0,0,1,1
1,0,3,12000,71,7,30,167.0,23,1,0.0,0.0,9,478,120.0,0,3,4,6,0,0,1,0
1,2,7,600,2897,59,9,320.0,153,1,1.0,0.0,1,602,107.0,0,0,1,1,0,0,0,1
0,1,7,5000,5053,54,57,777.0,54,3,0.0,0.0,0,285,248.0,0,0,11,25,0,1,1,1
3,1,7,11500,2680,37,53,60.0,5,3,5.0,0.0,0,310,64.0,2,0,7,14,0,0,1,0
2,0,10,1500,2445,32,30,296.0,73,1,0.0,0.0,2,152,376.0,0,0,1,1,0,0,1,1
1,4,12,12000,12126,155,39,99999.0,1037,1,0.0,0.0,6,552,36.0,0,0,4,12,1,0,1,1
2,10,13,10000,11748,142,31,1592.0,440,1,80.0,0.0,9,759,162.0,0,0,7,14,0,1,1,1
0,0,7,60000,125,5,30,99999.0,624,1,0.0,0.0,7,724,88.0,0,0,1,13,1,0,1,0
0,0,9,2000,2440,27,30,683.0,149,1,2.0,0.0,3,527,215.0,0,2,0,0,0,0,0,1
1,1,7,420,666,16,46,491.0,0,1,2.0,0.0,0,795,90.0,0,0,8,27,0,0,1,1
9,5,5,2000,2230,30,60,99999.0,119,2,2.0,0.0,0,699,210.0,0,0,1,13,1,0,0,1
2,0,5,100,170,7,7,99.0,1,2,0.0,0.0,10,265,38.0,0,2,10,20,0,1,0,1
0,0,6,25000,655,6,30,99999.0,52,1,0.0,0.0,0,1071,146.0,0,0,1,13,1,0,1,0
0,2,12,4000,4011,92,27,303.0,228,1,0.0,0.0,4,669,187.0,3,1,1,1,0,0,1,1
9,3,15,5000,5429,71,34,1817.0,527,2,4.0,0.0,0,387,124.0,1,0,0,11,0,0,1,1
0,0,6,1000,1001,10,24,744.0,66,1,1.0,2.0,3,429,121.0,0,1,1,13,0,0,1,1
4,0,6,3500,95,4,45,86.0,156,1,0.0,0.0,0,622,130.0,6,3,1,13,0,0,1,0
1,0,14,16000,16215,13,30,1742.0,186,1,0.0,0.0,6,933,282.0,0,0,1,1,0,0,1,1
3,0,10,6700,7777,90,30,710.0,227,1,4.0,0.0,8,472,129.0,0,0,1,1,0,0,0,1
0,0,7,750,1,1,15,48.0,2,1,0.0,0.0,0,129,45.0,0,0,8,28,0,1,1,0
0,0,6,5000,15,1,29,3015.0,18,1,0.0,0.0,0,110,104.0,0,0,1,19,0,0,1,0
0,0,16,5500,15,2,22,99999.0,2,1,0.0,0.0,11,528,91.0,0,1,12,26,1,1,1,0
2,0,8,500,1066,33,22,479.0,238,1,2.0,0.0,0,251,25.0,4,0,11,25,0,0,0,1
3,0,7,3000,5149,107,30,99999.0,111,1,0.0,0.0,7,852,301.0,3,0,4,12,1,1,1,1
0,1,9,100,239,13,30,179.0,29,1,0.0,0.0,13,424,62.0,0,1,0,29,0,1,1,1
1,3,12,2000,2242,77,30,942.0,701,1,1.0,1.0,5,541,102.0,0,1,1,19,0,0,1,1
7,4,9,3000,4787,78,53,662.0,17,1,5.0,0.0,0,163,60.0,0,0,11,25,0,0,1,1
3,2,18,20000,7286,35,30,1439.0,506,1,4.0,4.0,3,1891,120.0,0,0,1,13,0,0,0,0
0,6,14,20000,290,20,45,99999.0,86,1,0.0,0.0,17,267,222.0,0,3,13,30,1,0,1,0
5,2,11,7500,7833,192,60,731.0,640,1,6.0,0.0,6,764,131.0,0,0,1,31,0,0,1,1
1,1,16,5000,5123,56,31,1180.0,127,2,7.0,0.0,9,303,71.0,0,0,2,2,0,0,1,1
0,0,9,2000,2160,39,26,580.0,394,1,2.0,0.0,2,710,94.0,0,0,1,1,0,0,0,1
